,Set Name,Auth,PR1,FR1.5,GOOD2,VG3,VG‑EX4,EX5,EX‑MT6,NM7,NM‑MT8,MINT9,GEM‑MT10,Total
0,Menko Jcm 170 Caricature,3,1,–,1,5,4,1,2,0,0,0,0,17
1,BBM 1st Version,0,0,–,0,0,0,0,0,0,10,61,291,362
2,BBM 1st Version Amazing,0,0,–,0,0,0,0,0,0,0,1,2,3
3,BBM 1st Version Buyback Autographs,0,0,–,0,0,0,0,0,0,0,3,0,3
4,BBM 1st Version Cross Autographs,0,0,–,0,0,0,0,0,0,0,0,2,2
5,BBM 1st Version Cross Moon,0,0,–,0,0,0,0,0,0,3,15,14,32
6,BBM 1st Version Future Stardom,0,0,–,0,0,0,0,0,0,0,4,16,20
7,BBM 1st Version Japonism,0,0,–,0,0,0,0,0,0,0,4,2,6
8,BBM 1st Version Japonism Authentic Autograph,0,0,–,0,0,0,0,0,0,0,4,0,4
9,BBM 1st Version Memorabilia,0,0,–,0,0,0,0,0,0,1,2,1,4
10,BBM 1st Version Special Signing,0,0,–,0,0,0,0,0,0,1,0,0,1
11,BBM 2nd Version,0,0,–,0,0,0,0,0,0,0,2,6,8
12,BBM 2nd Version Ceremonial First Pitch,0,0,–,0,0,0,0,0,0,0,3,9,12
13,BBM 2nd Version Cross Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
14,BBM 2nd Version Fireworks,0,0,–,0,0,0,0,0,0,0,3,0,3
15,BBM Chiba Lotte Marines,0,0,–,0,0,0,0,1,0,0,5,3,9
16,BBM Chiba Lotte Marines Antique,0,0,–,0,0,0,0,0,0,0,1,3,4
17,BBM Chiba Lotte Marines Authentic Autographs,0,0,–,0,0,0,0,0,0,0,0,6,6
18,BBM Chiba Lotte Marines Catch the Wave,0,0,–,0,0,0,0,0,0,0,3,0,3
19,BBM Chiba Lotte Marines Esperanza,0,0,–,0,0,0,0,0,0,1,4,0,5
20,BBM Chiba Lotte Marines Phenom,0,0,–,0,0,0,0,1,0,0,9,9,19
21,BBM Dancing Heroine -Mai- Authentic Autographs,0,0,–,0,0,0,0,0,0,0,0,2,2
22,BBM Fukuoka Softbank Hawks Authentic Autographs,0,0,–,0,0,0,0,0,0,0,2,0,2
23,BBM Genesis,0,0,–,0,0,0,0,0,0,0,1,1,2
24,BBM Genesis Memorabilia Card,0,0,–,0,0,0,0,0,0,1,3,0,4
25,BBM Hanshin Tigers Authentic Autographs,0,0,–,0,0,0,0,0,0,0,2,3,5
26,BBM Hiroshima Toyo Carp Authentic Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
27,BBM Hokkaido Nippon-Ham Fighters,0,0,–,0,0,0,0,0,0,0,0,4,4
28,BBM Hokkaido Nippon-Ham Fighters Up and Coming,0,0,–,0,0,0,0,0,0,0,1,1,2
29,BBM Icons Samurai,0,0,–,0,0,0,0,1,0,0,1,4,6
30,BBM Icons Samurai Authentic Autograph,0,0,–,0,0,0,0,0,0,0,0,3,3
31,BBM Icons Samurai Foil Print,0,0,–,0,0,0,0,0,0,0,1,6,7
32,BBM Munetaka Murakami Shin-KA 3D,0,0,–,0,0,0,0,0,0,1,0,0,1
33,BBM Munetaka Murakami Shin-KA Authentic Autograph,0,0,–,0,0,0,0,0,0,0,1,0,1
34,BBM Munetaka Murakami Shin-KA Foil Signatures,0,0,–,0,0,0,0,0,0,1,4,3,8
35,BBM Munetaka Murakami Shin-KA Memorabilia,0,0,–,0,0,0,0,0,0,0,2,0,2
36,BBM Orix Buffaloes Authentic Autographs,0,0,–,0,0,0,0,0,0,0,1,1,2
37,BBM Orix Buffaloes Esperanza,0,0,–,0,0,0,0,0,0,0,1,0,1
38,BBM Rookie Edition,0,0,–,0,0,0,1,0,0,1,10,25,37
39,BBM Rookie Edition Starting Point,0,0,–,0,0,0,0,0,0,0,3,0,3
40,BBM Saitama Seibu Lions Authentic Autographs,0,0,–,0,0,0,0,0,0,1,0,0,1
41,BBM Tohoku Rakuten Golden Eagles Authentic Autographs,0,0,–,0,0,0,0,0,0,0,2,0,2
42,BBM Tokyo Yakult Swallows,0,0,–,0,0,0,0,0,0,1,1,5,7
43,BBM Tokyo Yakult Swallows Esperanza,0,0,–,0,0,0,0,0,0,0,4,0,4
44,BBM Tokyo Yakult Swallows Stellar,0,0,–,0,0,0,0,0,0,0,1,3,4
45,BBM Tokyo Yakult Swallows the Moment of 56,0,0,–,0,0,0,0,0,0,0,0,1,1
46,BBM Yomiuri Giants,0,0,–,0,0,0,0,0,0,2,1,1,4
47,BBM Yomiuri Giants Esperanza,0,0,–,0,0,0,0,0,0,0,1,0,1
48,BBM Yomiuri Giants Giants Pride 2023,0,0,–,0,0,0,0,0,0,1,1,0,2
49,Bowman,6,0,–,1,0,3,5,27,73,627,"1,689","1,441","3,872"
50,Bowman 1st Edition,2,0,–,0,0,0,2,10,13,89,563,898,"1,577"
51,Bowman 1st Edition Bowman Chrome Prospector's Special Die-Cut,0,0,–,0,0,0,0,0,1,1,3,4,9
52,Bowman 1st Edition Chrome Autographs,0,0,–,0,0,0,0,0,0,5,17,13,35
53,Bowman 75 Years of Bowman Buyback Autographs,3,0,–,0,0,0,1,2,1,1,1,1,10
54,Bowman Chrome,0,0,–,0,0,0,0,1,0,3,41,76,121
55,Bowman Chrome 2022 AFL Fall Stars,0,0,–,0,0,0,0,0,0,0,0,3,3
56,Bowman Chrome 2022 AFL Fall Stars Autograph,0,0,–,0,0,0,0,0,0,0,1,2,3
57,Bowman Chrome 2022 AFL Relics,0,0,–,0,0,0,0,1,0,0,1,0,2
58,Bowman Chrome Bowman Ascensions,0,0,–,0,0,0,0,0,0,0,12,5,17
59,Bowman Chrome Bowman Ascensions Autograph,0,0,–,0,0,0,0,1,0,3,6,4,14
60,Bowman Chrome Bowman Iconic,0,0,–,0,0,0,0,0,0,0,5,4,9
61,Bowman Chrome Bowman Invicta,0,0,–,0,0,0,0,0,0,0,0,1,1
62,Bowman Chrome Bowman Invicta Autograph,0,0,–,0,0,0,0,0,0,2,0,0,2
63,Bowman Chrome Chrome Autograph Relic,0,0,–,0,0,0,0,0,0,2,0,0,2
64,Bowman Chrome Chrome Rookie Autograph,1,0,–,0,0,0,0,0,0,1,8,12,22
65,Bowman Chrome It Came for the League,0,0,–,0,0,0,0,1,0,1,9,3,14
66,Bowman Chrome Mega Box Autographs,0,0,–,0,0,0,0,0,0,1,5,9,15
67,Bowman Chrome National,0,0,–,0,0,0,1,11,29,99,726,"1,072","1,938"
68,Bowman Chrome Prime Chrome Signature,0,0,–,0,0,0,0,0,0,0,1,0,1
69,Bowman Chrome Prospect Autographs,43,0,–,1,2,6,21,95,130,921,"8,429","14,235","23,883"
70,Bowman Chrome Prospect Process,0,0,–,0,0,0,0,0,0,0,0,4,4
71,Bowman Chrome Prospect Retrofractor Autograph,0,0,–,0,0,0,0,0,0,1,2,2,5
72,Bowman Chrome Prospects,102,1,–,1,2,16,33,130,163,"1,183","10,735","15,432","27,798"
73,Bowman Chrome Rookie Autographs,3,0,–,0,0,1,0,2,5,19,197,352,579
74,Bowman Chrome World Baseball Classic Flag,0,0,–,0,0,0,0,1,0,2,11,12,26
75,Bowman Invicta,1,0,–,0,0,0,0,3,1,37,172,92,306
76,Bowman Mega Box Chrome,13,0,–,0,0,5,14,35,44,195,"2,815","11,811","14,932"
77,Bowman Mega Box Chrome Prospect Autographs,1,0,–,0,2,0,1,3,6,44,500,"1,030","1,587"
78,Bowman Mega Box Chrome Rookies Autographs,1,0,–,0,0,0,0,2,0,3,17,59,82
79,Bowman Mega Box Chrome Roy Favorites,0,0,–,0,0,0,2,1,7,27,331,828,"1,196"
80,Bowman Mega Box Chrome Sights on September,0,0,–,0,0,0,1,0,3,14,123,257,398
81,Bowman Modern Prospect Autographs,0,0,–,0,0,0,0,0,0,0,5,4,9
82,Bowman Modern Prospects,5,0,–,0,0,0,1,3,7,39,535,"1,780","2,370"
83,Bowman Paper Prospects,36,0,–,0,1,1,6,38,87,757,"2,179","1,940","5,045"
84,Bowman Platinum Platinum Pairings,0,0,–,0,0,0,0,0,0,0,1,0,1
85,Bowman Platinum Platinum Patches,0,0,–,0,0,0,0,0,1,0,0,0,1
86,Bowman Platinum Platinum Pieces Autograph Relic,0,0,–,0,0,0,0,0,0,0,0,1,1
87,Bowman Platinum Platinum Plating Die-Cuts,0,0,–,0,0,0,0,0,0,1,0,0,1
88,Bowman Prospect Autographs,0,0,–,0,0,2,2,12,24,59,86,66,251
89,Bowman Rookie of the Year Favorites,0,0,–,0,0,3,8,7,10,68,582,"1,815","2,493"
90,Bowman Sapphire Edition Chrome Prospects,1,0,–,1,1,1,4,17,39,398,"2,246","3,282","5,990"
91,Bowman Sapphire Edition Chrome Prospects Autographs,2,0,–,0,2,1,2,4,19,172,815,579,"1,596"
92,Bowman Scouts' Top 100,6,0,–,1,0,0,0,10,13,61,802,"1,441","2,334"
93,Bowman Sights on September,0,0,–,0,0,0,1,4,5,45,344,901,"1,300"
94,Bowman Spotlights,11,0,–,0,0,0,3,25,23,170,"1,746","3,832","5,810"
95,Bowman Under Armour All-American Game Autographs,0,0,–,0,0,0,0,0,0,3,1,0,4
96,Calbee Checklist,0,0,–,0,0,0,0,0,0,0,0,1,1
97,Calbee Legend,0,0,–,0,0,0,0,0,0,0,1,0,1
98,Calbee Star Card,0,0,–,0,0,0,0,0,0,0,4,10,14
99,Calbee Team Strikeout Leaders,0,0,–,0,0,0,0,0,0,0,0,4,4
100,Calbee Title Holder,0,0,–,0,0,0,0,0,0,1,0,0,1
101,Choice Rancho Cucamonga Quakes Team Set,0,0,–,0,0,0,0,0,0,0,1,0,1
102,Epoch Fukuoka Softbank Hawks Premier Edition Rookie Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
103,Epoch Hanshin Tigers Premier Edition Authentic Autographs,0,0,–,0,0,0,0,0,0,0,1,0,1
104,Epoch Hiroshima Toyo Carp Premier Edition Printed Signatures,0,0,–,0,0,0,0,0,0,0,1,0,1
105,Epoch Npb Baseball Cards,0,0,–,0,0,0,0,0,1,0,1,1,3
106,Epoch Npb Baseball Cards Authentic Autographs,0,0,–,0,0,0,0,0,0,1,4,1,6
107,Epoch Npb Baseball Cards Superstar Autographs,0,0,–,0,0,0,0,0,0,1,2,0,3
108,Epoch Npb Luxury Collection Npb Star Lineup,0,0,–,0,0,0,0,0,0,0,1,0,1
109,Epoch Npb Luxury Collection Npb Star Lineup Gold,0,0,–,0,0,0,0,0,0,0,0,1,1
110,Epoch One,0,0,–,0,0,0,0,0,0,2,15,86,103
111,Epoch Orix Buffaloes Premier Edition Authentic Autographs,0,0,–,0,0,0,0,0,0,0,2,1,3
112,Epoch Orix Buffaloes Premier Edition Rookie Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
113,Epoch Tokyo Yakult Swallows Premier Edition Authentic Autograph,0,0,–,0,0,0,0,0,0,0,1,0,1
114,Epoch Tokyo Yakult Swallows Premier Edition Combo Autographs,0,0,–,0,0,0,0,0,0,0,1,0,1
115,Epoch Tokyo Yakult Swallows Premier Edition Metal Power,0,0,–,0,0,0,0,0,0,0,1,0,1
116,Epoch Tokyo Yakult Swallows Premier Edition One of One Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
117,Epoch Tokyo Yakult Swallows Premier Edition Printed Signatures,0,0,–,0,0,0,0,0,0,0,1,0,1
118,Epoch Tokyo Yakult Swallows Premier Edition Regular Printed Signature Variation,0,0,–,0,0,0,0,0,0,0,1,0,1
119,Epoch Tokyo Yakult Swallows Premier Edition Rookie Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
120,Epoch Yokohama Dena Baystars Premier Edition Authentic Autograph,0,0,–,0,0,0,0,0,0,0,1,1,2
121,Epoch Yokohama Dena Baystars Premier Edition Decomori Signature,0,0,–,0,0,0,0,0,0,0,0,1,1
122,Epoch Yokohama Dena Baystars Premier Edition Rookie Autograph,0,0,–,0,0,0,0,0,0,0,0,1,1
123,Historic Autographs Originals: Back to Back,2,0,–,0,0,0,0,0,0,0,0,0,2
124,Kahn's Cincinnati Reds,0,0,–,0,0,0,0,0,0,2,3,2,7
125,Leaf Exotic Autographs,0,0,–,0,0,0,0,0,1,0,1,0,2
126,Leaf Exotic Dual Autographs,0,0,–,0,0,0,0,0,0,0,1,0,1
127,Leaf Signature Series,0,0,–,0,0,0,0,0,0,0,0,1,1
128,Leaf Signature Series Dual Autographs,0,0,–,0,0,0,0,0,0,0,1,0,1
129,Onyx Vintage,2,0,–,0,0,0,1,1,3,17,64,39,127
130,Panini Donruss,2,0,–,0,0,4,5,21,41,280,687,301,"1,341"
131,Panini Donruss Bomb Squad,0,0,–,0,0,0,1,0,1,5,16,89,112
132,Panini Donruss Classics Autographs,0,0,–,0,0,0,0,0,0,0,3,1,4
133,Panini Donruss Coming Attractions,0,0,–,0,0,0,0,0,0,2,10,12,24
134,Panini Donruss Cooperstown,0,0,–,0,0,0,0,0,0,1,9,32,42
135,Panini Donruss Dominators,0,0,–,0,0,0,0,0,0,1,14,17,32
136,Panini Donruss Elite Field Vision,0,0,–,0,0,0,0,0,0,0,0,1,1
137,Panini Donruss Elite Series,0,0,–,0,0,0,0,1,0,1,8,29,39
138,Panini Donruss Etched in Glory,0,0,–,0,0,0,0,0,0,0,1,0,1
139,Panini Donruss History Makers,0,0,–,0,0,0,0,0,0,1,2,0,3
140,Panini Donruss Hitmen,0,0,–,0,0,0,0,1,0,5,7,0,13
141,Panini Donruss Locked & Loaded,0,0,–,0,0,0,0,0,2,4,4,44,54
142,Panini Donruss Marvels,0,0,–,0,0,0,0,0,3,10,98,177,288
143,Panini Donruss Monikers,0,0,–,0,0,0,0,0,0,2,0,10,12
144,Panini Donruss Mr.3000,0,0,–,0,0,0,0,0,2,3,21,20,46
145,Panini Donruss Naturals,0,0,–,0,0,0,0,1,0,8,5,1,15
146,Panini Donruss Optic Rated Prospect Signatures,1,0,–,0,0,0,0,6,9,51,266,210,543
147,Panini Donruss Optic Retro 1990 Signatures,0,0,–,0,0,0,0,4,6,25,87,43,165
148,Panini Donruss Pennants,0,0,–,0,0,0,0,0,0,0,2,6,8
149,Panini Donruss Retro 1990 Materials,0,0,–,0,0,0,1,4,9,8,4,1,27
150,Panini Donruss Retro 1990 Signatures,0,0,–,0,0,0,0,2,3,27,33,11,76
151,Panini Donruss Signature Series,0,0,–,0,0,0,0,0,5,11,40,28,84
152,Panini Donruss Superstar Scribbles,0,0,–,0,0,0,0,1,0,2,6,5,14
153,Panini Donruss Superstar Skylines,0,0,–,0,0,0,0,0,1,2,7,2,12
154,Panini Donruss the Mick,0,0,–,0,0,0,0,0,0,1,3,10,14
155,Panini Donruss Unleashed,0,0,–,0,0,0,0,5,8,38,147,233,431
156,Panini Donruss Whammy,0,0,–,0,0,0,0,1,0,3,21,60,85
157,Panini Immaculate Collection,0,0,–,0,0,0,0,0,6,3,1,0,10
158,Panini Immaculate Collection Clearly Immaculate Material Signatures,0,0,–,0,0,0,0,2,1,3,1,0,7
159,Panini Immaculate Collection Clearly Immaculate Signatures,0,0,–,0,0,0,0,0,0,2,0,0,2
160,Panini Immaculate Collection Dual Material Signatures,0,0,–,0,0,0,0,1,0,1,0,0,2
161,Panini Immaculate Collection Hall of Fame Jumbo Materials,0,0,–,0,0,0,0,1,0,0,0,0,1
162,Panini Immaculate Collection Immaculate Clear Signature Materials,1,0,–,0,0,0,0,0,0,0,0,0,1
163,Panini Immaculate Collection Immaculate Material Autographs,0,0,–,0,0,0,0,0,0,2,0,0,2
164,Panini Immaculate Collection Immaculate Material Signatures,0,0,–,0,0,0,0,0,0,0,0,1,1
165,Panini Immaculate Collection Immaculate Moments Signatures,0,0,–,0,0,0,0,0,0,1,0,0,1
166,Panini Immaculate Collection Jersey Numbers Materials,0,0,–,0,0,0,0,1,1,1,0,0,3
167,Panini Immaculate Collection Jumbo Bat Signatures,0,0,–,0,0,0,0,0,0,1,0,0,1
168,Panini Immaculate Collection Jumbo Relics,0,0,–,0,0,0,0,1,0,1,0,1,3
169,Panini Immaculate Collection Jumbo Socks Signatures,0,0,–,0,0,0,0,1,0,0,0,0,1
170,Panini Immaculate Collection Legends Materials,0,0,–,0,0,0,0,0,0,1,2,1,4
171,Panini Immaculate Collection Materials Prime,0,0,–,0,0,0,0,0,0,0,1,0,1
172,Panini Immaculate Collection Prime Rookies Materials,0,0,–,0,0,0,0,0,0,2,0,0,2
173,Panini Immaculate Collection Prospect Triple Memorabilia Signatures,0,0,–,0,0,0,0,0,0,2,0,0,2
174,Panini Prizm,0,0,–,0,0,0,3,14,7,53,231,315,623
175,Panini Prizm 20-80 Scale,0,0,–,0,0,0,0,0,0,0,0,2,2
176,Panini Prizm Color Blast,0,0,–,0,0,0,3,0,0,0,4,17,24
177,Panini Prizm Fireworks,0,0,–,0,0,0,0,0,1,1,8,16,26
178,Panini Prizm Franchise Legends Signatures,0,0,–,0,0,0,0,1,0,1,0,6,8
179,Panini Prizm Future Supers,0,0,–,0,0,0,0,0,0,2,5,3,10
180,Panini Prizm Future Tools,0,0,–,0,0,0,0,0,0,0,1,9,10
181,Panini Prizm Manga,0,0,–,0,0,0,0,1,0,1,28,75,105
182,Panini Prizm Pot of Gold,0,0,–,0,0,0,0,0,0,1,5,3,9
183,Panini Prizm Potential Penmanship,0,0,–,0,0,0,0,2,0,4,17,22,45
184,Panini Prizm Prizmatic,0,0,–,0,0,0,0,1,0,1,8,30,40
185,Panini Prizm Second to None,0,0,–,0,0,0,0,0,0,0,5,0,5
186,Panini Prizm Sensational Signature,0,0,–,0,0,0,0,0,0,0,1,2,3
187,Panini Prizm Signatures,0,0,–,0,0,0,0,3,2,13,66,136,220
188,Panini Prizm the Blueprints,0,0,–,0,0,0,0,0,0,0,1,1,2
189,Panini Select,0,0,–,0,0,0,0,0,0,1,0,0,1
190,Panini Select Color Wheel,0,0,–,0,0,0,0,0,0,0,1,0,1
191,Panini Select Rookie Jersey Autograph,0,0,–,0,0,0,0,0,0,1,0,1,2
192,Panini Select Rookie Signature,0,0,–,0,0,0,0,0,0,0,2,0,2
193,Panini Stars & Stripes USA,3,0,–,0,0,0,2,5,1,14,91,72,188
194,Panini Stars & Stripes USA 15U National Team Signatures,0,0,–,0,0,0,0,0,0,0,4,5,9
195,Panini Stars & Stripes USA 15U National Team Signatures Materials,0,0,–,0,0,0,0,0,1,1,3,3,8
196,Panini Stars & Stripes USA 18U National Team Signatures,0,0,–,0,0,0,0,0,1,1,3,2,7
197,Panini Stars & Stripes USA 18U National Team Signatures 2,0,0,–,0,0,0,0,0,0,0,0,3,3
198,Panini Stars & Stripes USA 18U National Team Signatures Materials,0,0,–,0,0,0,0,1,0,1,3,5,10
199,Panini Stars & Stripes USA Australia U-18 World Cup Materials,0,0,–,0,0,0,0,0,0,1,0,0,1
200,Panini Stars & Stripes USA Chinese Taipei U-18 World Cup Materials,0,0,–,0,0,0,0,0,0,1,1,0,2
201,Panini Stars & Stripes USA Chinese Taipei U-18 World Cup Materials Signature,0,0,–,0,0,0,0,0,0,3,1,0,4
202,Panini Stars & Stripes USA Collegiate National Team Signatures,0,0,–,0,0,0,0,1,0,3,8,17,29
203,Panini Stars & Stripes USA Collegiate National Team Signatures Materials,1,0,–,0,0,0,0,0,1,1,4,4,11
204,Panini Stars & Stripes USA Collegiate National Team Training Camp Signatures,0,0,–,0,0,0,0,0,0,0,2,1,3
205,Panini Stars & Stripes USA Collegiate National Team Training Camp Signatures Materials,0,0,–,0,0,0,0,0,0,0,2,1,3
206,Panini Stars & Stripes USA Jumbo Material,0,0,–,0,0,0,0,1,0,1,1,1,4
207,Panini Stars & Stripes USA Kaboom!,1,0,–,0,0,1,0,0,1,5,60,69,137
208,Panini Stars & Stripes USA Material,0,0,–,0,0,0,0,1,1,1,2,0,5
209,Panini Stars & Stripes USA Signature Materials,0,0,–,0,0,0,0,2,0,2,4,8,16
210,Panini Stars & Stripes USA Silhouettes Signatures Bats,0,0,–,0,0,0,0,0,0,5,3,0,8
211,Panini Stars & Stripes USA Silhouettes Signatures Jerseys,0,0,–,0,0,1,0,1,1,13,3,0,19
212,Panini Stars & Stripes USA South Africa U-18 World Cup Materials,0,0,–,0,0,0,0,0,0,0,1,0,1
213,Panini Stars & Stripes USA South Africa U-18 World Cup Materials Signature,0,0,–,0,0,0,0,0,0,0,1,0,1
214,Panini Stars & Stripes USA U-18 World Cup Materials,0,0,–,0,0,0,0,0,0,0,1,0,1
215,Panini Stars & Stripes USA U-18 World Cup Materials Signature,0,0,–,0,0,0,0,0,0,0,2,1,3
216,Panini Stars & Stripes USA USA Athlete Development Program Signature Materials,0,0,–,0,0,0,1,0,0,0,8,3,12
217,Panini Stars & Stripes USA USA Athlete Development Program Signatures,0,0,–,0,0,0,0,0,0,1,6,3,10
218,Panini Stars & Stripes USA USA National Team Development Program Signature Materials,0,0,–,0,0,0,0,0,0,1,5,0,6
219,Panini Stars & Stripes USA USA National Team Development Program Signatures,0,0,–,0,0,0,0,0,0,2,5,5,12
220,Panini Three and Two,0,0,–,0,0,0,0,1,14,21,33,10,79
221,Panini Three and Two All Prospect Team,0,0,–,0,0,0,0,0,0,1,11,5,17
222,Panini Three and Two Autographed Jerseys,0,0,–,0,0,0,0,1,1,6,16,2,26
223,Panini Three and Two Contemporaries,0,0,–,0,0,0,0,0,0,2,11,5,18
224,Panini Three and Two Day One Autographs,0,0,–,0,0,0,1,0,0,0,2,2,5
225,Panini Three and Two Full Count,0,0,–,0,0,0,0,0,0,4,12,6,22
226,Panini Three and Two Full Count Swatches,0,0,–,0,0,0,0,0,0,1,5,2,8
227,Panini Three and Two Jumbo Swatches,0,0,–,0,0,0,0,0,0,2,1,1,4
228,Panini Three and Two Legendary Signatures,0,0,–,0,0,0,0,0,1,0,5,0,6
229,Panini Three and Two Lone Star Signatures,0,0,–,0,0,0,0,0,1,3,10,0,14
230,Panini Three and Two Moments,0,0,–,0,0,0,0,0,1,3,1,0,5
231,Panini Three and Two on the Horizon,0,0,–,0,0,0,0,0,0,1,5,8,14
232,Panini Three and Two Plus One Autographs,0,0,–,0,0,0,0,0,0,1,4,2,7
233,Panini Three and Two Prospect Dual Jerseys,0,0,–,0,0,0,0,0,0,0,3,1,4
234,Panini Three and Two Prospect Jerseys,0,0,–,0,0,0,0,2,0,9,7,4,22
235,Panini Three and Two Prospect Quad Jerseys,0,0,–,0,0,0,0,0,0,0,3,0,3
236,Panini Three and Two Quad Jersey Autographs,0,0,–,0,0,0,0,1,0,2,5,1,9
237,Panini Three and Two Rookie Dual Jersey Autographs,0,0,–,0,0,0,0,2,0,1,4,1,8
238,Panini Three and Two Sluggers,0,0,–,0,0,0,0,2,0,2,6,1,11
239,Panini Three and Two Spotlight Spikes,0,0,–,0,0,0,0,0,0,1,3,0,4
240,Panini Three and Two Superstar Signatures,0,0,–,0,0,0,0,1,0,4,0,1,6
241,Panini Three and Two Timeless Moments Autographs,0,0,–,0,0,0,0,1,1,2,0,0,4
242,Scc Kbo Rainbow Draft Check,0,0,–,0,0,0,0,0,0,0,2,0,2
243,Scc Kbo Rainbow Draft on-Card Autographs,0,0,–,0,0,0,0,0,0,0,0,1,1
244,Topps,32,2,–,0,6,7,46,157,222,"1,699","10,291","23,206","35,668"
245,Topps 1988 Topps All-Star Baseball,0,0,–,0,0,0,0,3,4,30,66,103,206
246,Topps 1988 Topps All-Star Baseball Autographs,2,0,–,0,0,0,1,4,14,34,24,7,86
247,Topps 1988 Topps All-Star Baseball Relics,0,0,–,0,0,0,1,2,2,18,33,7,63
248,Topps 1988 Topps Baseball,1,0,–,0,0,1,5,11,48,233,929,976,"2,204"
249,Topps 1988 Topps Baseball Autographs,22,0,–,0,0,2,3,35,114,374,815,378,"1,743"
250,Topps 1988 Topps Baseball Relics,0,0,–,0,0,0,6,6,19,88,176,94,389
251,Topps 1st Edition,0,0,–,0,0,0,4,5,11,84,575,782,"1,461"
252,Topps 1st Edition Baseball Stars Autographs,1,0,–,0,0,0,0,0,1,0,15,14,31
253,Topps 2022 Greatest Hits,0,0,–,0,0,0,1,1,7,151,639,296,"1,095"
254,Topps 2022 Greatest Hits Autographs,0,0,–,0,0,0,0,0,2,1,1,0,4
255,Topps 2022 Silver Slugger Award Winners Commemorative Patch,0,0,–,0,0,0,0,2,3,7,6,0,18
256,Topps 2023 World Baseball Classic Stars,2,0,–,0,0,0,0,1,8,49,109,29,198
257,Topps 206 Low Series,0,0,–,0,0,0,0,1,2,3,16,90,112
258,Topps 206 Low Series 205 Gold Border,0,0,–,0,0,0,0,0,0,0,4,16,20
259,Topps 206 Low Series Autograph,0,0,–,0,0,0,0,0,0,1,2,18,21
260,Topps 582 Montgomery Set,0,0,–,0,0,0,0,0,2,34,189,516,741
261,Topps All Aces,1,0,–,0,0,2,5,11,11,70,609,"1,606","2,315"
262,Topps All Aces Autographs,0,0,–,0,0,0,0,0,2,0,11,26,39
263,Topps Allen & Ginter,0,0,–,0,0,0,0,0,1,4,20,64,89
264,Topps Allen & Ginter A & G Boxloader Autograph,1,0,–,0,0,0,0,0,0,0,0,0,1
265,Topps Allen & Ginter A & G Rookie Design Variation Mini,0,0,–,0,0,0,0,0,0,0,1,0,1
266,Topps Allen & Ginter Framed Mini Autograph,0,0,–,0,0,0,0,0,0,0,3,0,3
267,Topps Allen & Ginter Framed Mini Non Baseball Autographs,0,0,–,0,0,0,1,2,0,2,7,2,14
268,Topps Allen & Ginter Framed Mini Relic of Legend,0,0,–,0,0,0,0,0,0,0,1,0,1
269,Topps Allen & Ginter X,0,0,–,0,0,0,0,0,0,0,3,0,3
270,Topps All-Star Game Wrapper Redemption,0,0,–,0,0,0,0,0,0,0,7,42,49
271,Topps Also Known As,0,0,–,0,0,0,1,3,5,34,56,5,104
272,Topps Archives Signature Series,12,0,–,0,0,0,0,11,15,55,110,65,268
273,Topps Autograph Promo,0,0,–,0,0,0,0,0,0,0,0,4,4
274,Topps Baseball Stars Autographs,5,0,–,0,0,0,0,11,8,141,448,780,"1,393"
275,Topps Baseball Stars Dual Autographs,0,0,–,0,0,1,0,0,0,5,15,5,26
276,Topps Big League,1,0,–,0,0,0,1,1,5,87,438,442,975
277,Topps Big League 8-Bit Ballers,0,0,–,0,0,0,1,4,0,20,106,106,237
278,Topps Big League Big League Autographs,1,0,–,0,0,0,0,1,0,3,27,14,46
279,Topps Big League City Slickers,0,0,–,0,0,0,0,1,1,20,30,31,83
280,Topps Big League Game Day Drip,0,0,–,0,0,0,0,0,0,1,9,11,21
281,Topps Big League Hobby Influencer,2,0,–,0,0,0,0,0,0,1,20,59,82
282,Topps Big League Let's Go Chrome,0,0,–,0,0,0,0,0,0,1,1,20,22
283,Topps Big League Mascots,0,0,–,0,0,0,0,0,1,1,6,5,13
284,Topps Big League Mascots Mania,0,0,–,0,0,0,0,0,0,0,5,2,7
285,Topps Big League Opening Act Autographs,0,0,–,0,0,0,2,2,9,61,105,18,197
286,Topps Big League Roll Call Wildstyle Edition,0,0,–,0,0,0,0,0,2,21,104,103,230
287,Topps Big League Topps Big Leaguers,0,0,–,0,0,0,1,7,6,20,86,87,207
288,Topps Chrome,5,0,–,0,1,6,23,88,81,633,"5,053","8,616","14,506"
289,Topps Chrome 1988 Topps Baseball,0,0,–,0,0,0,0,1,3,24,159,251,438
290,Topps Chrome 1988 Topps Baseball Autograph,0,0,–,0,0,0,0,1,0,0,7,9,17
291,Topps Chrome 2022 MVP Buybacks,0,0,–,0,0,0,0,1,0,0,6,9,16
292,Topps Chrome Dual Rookie Autographs,0,0,–,0,0,0,1,0,0,1,5,3,10
293,Topps Chrome Future Stars,0,0,–,0,0,0,0,4,0,12,77,540,633
294,Topps Chrome Future Stars Autograph,0,0,–,0,0,0,0,0,0,2,9,4,15
